Cm0: 0  W0: [[0. 0. 0. 0. 0.]]
Cm1: 2  W1: [[  1.      -3.8203 -13.0551  16.9583  -2.3052]]
Cm2: 5  W2: [[  0.       -4.8394  -15.3851   12.0249   -3.13449]]
Cm3: 1  W3: [[  1.       -5.1875  -15.77206  11.54649  -2.50822]]
Cm4: 3  W4: [[  0.        -5.7581   -15.747219  10.30439   -1.94614 ]]
Cm5: 1  W5: [[ -1.        -8.1807   -11.172019   4.35739   -2.16121 ]]
Cm6: 1  W6: [[-2.       -8.7002   -7.908719  1.26789  -1.17631 ]]
Cm7: 4  W7: [[-1.        -8.13788   -6.907219  -1.00471   -1.1823586]]
Cm8: 2  W8: [[  0.        -15.09778     2.085881   -0.78651    -5.7543586]]
Cm9: 24  W9: [[ -1.        -14.97782    -4.788219   -1.70646    -5.0849586]]
Cm10: 10  W10: [[ -2.        -15.49732    -1.524919   -4.79596    -4.1000586]]
Cm11: 14  W11: [[ -1.        -15.97197    -5.874519   -2.80586    -3.3483586]]
Cm12: 1  W12: [[  0.        -15.36466    -1.920119   -7.57786    -7.8336586]]
Cm13: 9  W13: [[ -1.        -12.86936   -13.067319   -9.51316    -4.3698586]]
Cm14: 5  W14: [[  0.        -11.85766   -12.165119  -11.86376    -3.9427186]]
Cm15: 1  W15: [[ -1.        -12.37713    -8.901819  -14.95326    -2.9577986]]
Cm16: 2  W16: [[  0.        -14.78863   -18.037719   -5.60886    -3.6103886]]
Cm17: 10  W17: [[  1.        -14.89097   -16.218819   -7.82576    -4.1776386]]
Cm18: 2  W18: [[  2.        -15.48684   -13.737719  -10.69306    -5.0759186]]
Cm19: 3  W19: [[  3.        -14.96884   -13.479069  -11.53391    -4.1147386]]
Cm20: 5  W20: [[  4.        -13.46114   -11.519469  -14.59231    -4.2371686]]
Cm21: 8  W21: [[  5.        -12.90175   -11.829869  -14.40924    -3.7906386]]
Cm22: 19  W22: [[  6.        -14.50465   -12.218899  -12.78924    -1.8803386]]
Cm23: 42  W23: [[  7.        -14.29034   -12.914189  -11.91213    -1.5838086]]
Cm24: 12  W24: [[  8.        -19.77114    -4.732289  -11.63395    -6.6161086]]
Cm25: 26  W25: [[  7.        -18.31394   -13.853689  -13.37645    -1.4920086]]
Cm26: 47  W26: [[  8.        -22.30734    -8.020389  -12.82922    -6.4299086]]
Cm27: 6  W27: [[  7.        -20.44894   -15.906389  -11.16492    -4.5915086]]
Cm28: 3  W28: [[  6.        -20.28786    -9.443989  -19.52222    -3.0699086]]
Cm29: 8  W29: [[  7.        -21.76786   -19.968389   -9.60462    -3.5725086]]
Cm30: 21  W30: [[  6.        -25.52486   -14.544789  -13.43012    -2.3199086]]
Cm31: 17  W31: [[  7.        -24.29696   -10.513889  -18.07362    -6.2324086]]
Cm32: 18  W32: [[  8.        -28.05426   -18.805489   -7.77042    -5.8518186]]
Cm33: 14  W33: [[  9.        -26.47326   -17.936399  -10.08422    -5.0276986]]
Cm34: 16  W34: [[ 10.        -24.88286   -15.724299  -13.20252    -5.1449486]]
Cm35: 3  W35: [[ 11.        -23.43276   -12.117599  -17.25822    -6.7415486]]
Cm36: 48  W36: [[ 10.        -20.78486   -22.254999  -15.92722    -1.2708486]]
Cm37: 22  W37: [[ 11.        -23.66776   -18.358599  -16.11602    -2.4380486]]
Cm38: 7  W38: [[ 12.        -22.34946   -16.456899  -19.42712    -2.3729776]]
Cm39: 5  W39: [[ 13.        -25.18856   -23.086899   -8.94222    -2.7941076]]
Cm40: 63  W40: [[ 12.        -28.44706   -18.625499  -12.74462    -2.6432376]]
Cm41: 36  W41: [[ 13.        -28.86671   -15.716099  -14.53052    -4.8501376]]
Cm42: 46  W42: [[ 14.        -27.64691   -13.617899  -17.72592    -4.7217076]]
Cm43: 1  W43: [[ 15.        -31.24541   -27.277199   -0.12072    -7.2144076]]
Cm44: 13  W44: [[ 14.        -33.19301   -22.503399   -8.64772    -5.3476076]]
Cm45: 22  W45: [[ 15.        -33.1833487 -18.942199  -13.05472    -9.7579076]]
Cm46: 1  W46: [[ 16.        -31.1656487 -17.143999  -16.01282    -9.5480076]]
Cm47: 34  W47: [[ 15.        -31.4948487 -12.688799  -20.58462    -8.5592076]]
Cm48: 1  W48: [[ 14.        -30.7079487 -22.255099  -16.79792    -1.0558076]]
Cm49: 35  W49: [[ 15.        -28.6769487 -20.403099  -19.81002    -1.0528046]]
Cm50: 21  W50: [[ 16.        -27.6132487 -16.707399  -23.96942    -2.9907046]]
Cm51: 6  W51: [[ 17.        -31.9019487 -24.570699  -12.13072    -4.8885046]]
Cm52: 36  W52: [[ 18.        -31.2201487 -19.720299  -17.34402   -10.9928046]]
Cm53: 18  W53: [[ 19.        -29.8683487 -18.660799  -19.68772   -10.5928246]]
